STATION_ZONE,STATION_DIV,STATION_CODE,STATION_NAME,amenities1,amenities2,ALL_AMENITIES,TOTAL_AMENITIES
NR,UMB,AADR,AMB ANDAURA,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
SB,BSP,AAL,AMLAI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,PGT,AAM,ANGADIPURAM,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,ADI,AAR,ADESAR,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
SR,TVC,AAY,ARALVAYMOLI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,MAS,AB,AMBUR,"['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",8
WR,ADI,ABD,AMBLI ROAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,MDU,ABI,AMBATURAI,[],['Wheelchair Access(5)'],['Wheelchair Access(5)'],1
ER,HWH,ABKA,AMBIKA KALNA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,BSP,ABKP,AMBIKAPUR,"['Waiting Room', 'Drinking Water', 'Bus Connectivity']",['Wheelchair Access(10)'],"['Waiting Room', 'Drinking Water', 'Bus Connectivity', 'Wheelchair Access(10)']",4
CR,PUNE,ABLE,AMBALE,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
NR,LKO,ABP,AKBARPUR JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
NW,AII,ABR,ABU ROAD,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
NR,UMB,ABS,ABOHAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
